Rk,Squad,MP_x,W,D,L,GF,GA,GD,Pts,Pts/MP,xG_x,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,# Pl,Age,Poss,MP_y,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG_y,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
8,Farense,11,5,1,5,20,15,5,16,1.45,14.9,17.8,-2.9,-0.26,L D W W W,"4,648",Mattheus Oliveira - 4,Ricardo Velho,,23,28.9,41.6,11,121,990,11.0,20,11,31,18,2,3,27,2,14.9,12.8,9.0,21.8,134.0,320.0,1.82,1.0,2.82,1.64,2.64,1.35,0.82,2.18,1.16,1.98
9,Boavista,11,4,3,4,19,20,-1,15,1.36,13.6,18.6,-5.0,-0.46,D D L L L,"8,951",Róbert Boženík - 6,João Gonçalves,,22,26.0,50.5,11,121,990,11.0,17,9,26,16,1,1,30,3,13.6,12.9,10.0,22.9,154.0,307.0,1.55,0.82,2.36,1.45,2.27,1.24,0.91,2.15,1.17,2.08
10,Portimonense,11,4,2,5,13,25,-12,14,1.27,11.2,17.6,-6.4,-0.59,W L W L W,"2,425",Carlinhos - 4,Vinicius Silvestre,,24,25.7,42.0,11,121,990,11.0,13,9,22,11,2,3,34,1,11.2,8.9,7.3,16.2,171.0,300.0,1.18,0.82,2.0,1.0,1.82,1.02,0.66,1.68,0.81,1.47
11,Gil Vicente FC,11,3,2,6,23,22,1,11,1.0,14.0,18.6,-4.6,-0.42,W L D L D,"4,183",Maxime Dominguez - 5,Andrew,,25,26.0,52.4,11,121,990,11.0,23,15,38,20,3,3,29,0,14.0,11.8,7.7,19.5,182.0,384.0,2.09,1.36,3.45,1.82,3.18,1.27,0.7,1.97,1.07,1.77
12,Estrela,11,3,2,6,11,16,-5,11,1.0,12.9,15.3,-2.4,-0.22,L W W L L,"4,021","Leo Cordeiro, Ronaldo Tavares... - 2",Bruno Brigido,,24,27.6,48.0,11,121,990,11.0,11,7,18,10,1,1,29,2,12.9,12.2,10.2,22.3,141.0,377.0,1.0,0.64,1.64,0.91,1.55,1.18,0.92,2.1,1.11,2.03
13,Estoril,11,3,1,7,19,20,-1,10,0.91,13.8,16.9,-3.1,-0.28,L L L W W,"3,506",Alejandro Marqués - 4,Marcelo Carné,,24,24.8,46.6,11,121,990,11.0,19,13,32,18,1,1,32,1,13.8,13.0,9.2,22.3,191.0,340.0,1.73,1.18,2.91,1.64,2.82,1.25,0.84,2.09,1.19,2.02
14,Vizela,11,2,4,5,11,16,-5,10,0.91,13.6,12.8,0.8,0.07,L D L W D,"3,005",Samuel Essende - 4,Fabijan Buntić,,23,25.3,47.1,11,121,990,11.0,10,7,17,8,2,3,24,1,13.6,11.2,8.0,19.2,128.0,423.0,0.91,0.64,1.55,0.73,1.36,1.23,0.73,1.96,1.02,1.75
15,Casa Pia,11,2,4,5,8,13,-5,10,0.91,8.5,12.2,-3.8,-0.34,L L D L L,"3,705",Clayton - 3,Ricardo Batista,,23,29.0,44.7,11,121,990,11.0,8,5,13,7,1,2,28,1,8.5,6.9,5.2,12.1,186.0,325.0,0.73,0.45,1.18,0.64,1.09,0.77,0.47,1.24,0.63,1.1
16,Rio Ave,11,2,3,6,12,19,-7,9,0.82,14.8,15.5,-0.7,-0.07,L L L W D,"2,749","Leonardo Ruíz, Costinha - 2",Magrão,,23,27.9,49.5,11,121,990,11.0,10,3,13,7,3,3,29,0,14.8,12.7,9.7,22.4,161.0,369.0,0.91,0.27,1.18,0.64,0.91,1.34,0.88,2.23,1.16,2.04
17,Chaves,11,2,1,8,13,30,-17,7,0.64,12.1,20.3,-8.1,-0.74,W W L L L,"4,212",Héctor - 7,Hugo Souza,,25,26.8,45.8,11,121,990,11.0,13,9,22,12,1,1,35,4,12.1,11.3,8.8,20.1,164.0,338.0,1.18,0.82,2.0,1.09,1.91,1.1,0.8,1.9,1.03,1.83
18,Arouca,11,1,3,7,9,17,-8,6,0.55,11.8,12.5,-0.8,-0.07,L L L L L,"1,359","Cristo González, Rafa Mújica - 3",Ignacio De Arruabarrena,,25,26.5,50.6,11,121,990,11.0,8,7,15,8,0,1,32,5,11.8,11.0,8.6,19.6,161.0,413.0,0.73,0.64,1.36,0.73,1.36,1.07,0.78,1.85,1.0,1.78
1,Union SG,14,11,1,2,34,15,19,34,2.43,32.3,11.4,20.9,1.49,W W W W W,"5,816",Mohamed El Amine Amoura - 8,Anthony Moris,,25,26.5,49.5,14,154,"1,260",14.0,34,23,57,27,7,8,27,0,32.3,26.1,21.3,47.4,303.0,706.0,2.43,1.64,4.07,1.93,3.57,2.31,1.52,3.83,1.87,3.39
2,Anderlecht,14,8,4,2,27,15,12,28,2.0,19.7,15.9,3.8,0.27,W L W W D,"19,617",Kasper Dolberg - 9,"Kasper Schmeichel, Maxime Dupé",,25,26.7,49.7,14,154,"1,260",14.0,26,21,47,24,2,2,29,2,19.7,18.1,14.7,32.8,207.0,524.0,1.86,1.5,3.36,1.71,3.21,1.41,1.05,2.46,1.3,2.35
3,Gent,14,7,6,1,23,15,8,27,1.93,23.4,18.9,4.5,0.32,D L W W D,"13,188","Tarik Tissoudali, Hugo Cuypers - 4",Paul Nardi,,22,26.7,53.4,14,154,"1,260",14.0,21,12,33,19,2,4,21,3,23.4,20.2,15.0,35.3,315.0,674.0,1.5,0.86,2.36,1.36,2.21,1.67,1.07,2.75,1.45,2.52
4,Genk,14,6,6,2,28,14,14,24,1.71,28.8,15.9,13.0,0.93,D W W L W,"15,367",Daniel Muñoz - 5,Maarten Vandevoordt,,23,24.3,52.3,14,154,"1,260",14.0,27,15,42,26,1,2,32,2,28.8,27.1,20.5,47.6,266.0,769.0,1.93,1.07,3.0,1.86,2.93,2.06,1.46,3.52,1.93,3.4
5,Antwerp,14,6,5,3,29,12,17,23,1.64,26.7,15.3,11.4,0.81,W L L W W,"11,665",Vincent Janssen - 8,Jean Butez,,23,25.3,59.3,14,154,"1,260",14.0,26,18,44,25,1,3,18,0,26.7,24.3,20.2,44.5,271.0,755.0,1.86,1.29,3.14,1.79,3.07,1.91,1.44,3.35,1.74,3.18
6,Cercle Brugge,14,7,1,6,16,14,2,22,1.57,23.0,16.5,6.5,0.46,W W W L D,"4,609",Kevin Denkey - 10,Warleson,,24,23.7,44.4,14,154,"1,260",14.0,16,12,28,15,1,2,29,1,23.0,21.5,16.3,37.8,187.0,608.0,1.14,0.86,2.0,1.07,1.93,1.64,1.16,2.81,1.53,2.7
